dB,dB_2,X_cm,Y_cm,Side,Position,Depth,Ambient,RMS,RMS_2,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
120,132,50,25,L,3,Top,FALSE,6.208560261,24.70637792,-28.81089736,0.02713313897,0.02405603865,0.0002299516908,0.02792,0.024898,0.000238
118,130,97.5,3.349364905,R,5,Top,FALSE,4.785366459,18.7458372,-27.97550228,0.02398639456,0.03191304348,0.0002628019324,0.024682,0.03303,0.000272
127,134,72.5,46.65063509,R,11,Top,FALSE,13.50558028,28.66746917,-27.85872298,0.02982410107,0.02734492754,0.0002753623188,0.030689,0.028302,0.000285
126,132,72.5,25,R,16,Bottom,FALSE,11.45057364,23.57191014,-27.80164577,0.02547910593,0.03177681159,8.68E-05,0.026218,0.032889,8.98E-05
120,132,60,25,R,9,Bottom,FALSE,6.236175838,23.47651548,-27.51746817,0.04046744412,0.01155072464,0.0003285024155,0.041641,0.011955,0.00034
132,141,37.5,25,L,14,Bottom,FALSE,24.47256371,69.04257768,-27.30338826,0.036101069,0.02360386473,0.0004531400966,0.037148,0.02443,0.000469
122,136,46.65063509,12.5,L,4,Top,FALSE,7.661815827,37.95304307,-26.97444241,0.03694655005,0.02533623188,0.0002579710145,0.038018,0.026223,0.000267
130,141,25,37.5,L,13,Bottom,FALSE,18.17747329,71.35758784,-26.96210786,0.03543440233,0.02751497585,0.0002763285024,0.036462,0.028478,0.000286
126,129,72.5,3.349364905,R,7,Top,FALSE,12.25459313,16.09921218,-26.87676102,0.03746355685,0.02547826087,0.0001806763285,0.03855,0.02637,0.000187
120,136,25,0,L,6,Top,FALSE,6.306580389,38.97549705,-26.87504342,0.03960738581,0.02201545894,0.0002811594203,0.040756,0.022786,0.000291
120,129,97.5,46.65063509,R,1,Bottom,FALSE,6.018153598,16.47379603,-26.77148984,0.03833819242,0.02516328502,0.0002212560386,0.03945,0.026044,0.000229
120,134,37.5,3.349364905,L,5,Top,FALSE,5.706521372,28.7044562,-26.65651983,0.04059961127,0.0226057971,0.0003516908213,0.041777,0.023397,0.000364
126,134,85,0,R,6,Top,FALSE,12.31046638,30.86033903,-26.44205915,0.0414548105,0.02345700483,0.0002376811594,0.042657,0.024278,0.000246
119,134,12.5,3.349364905,L,7,Top,FALSE,5.471834797,29.84833573,-26.2516098,0.04086880466,0.02645990338,0.0003304347826,0.042054,0.027386,0.000342
121,129,85,0,R,6,Bottom,FALSE,7.066435716,17.36467157,-25.74579389,0.03803692906,0.0348763285,0.0003700483092,0.03914,0.036097,0.000383
127,132,85,50,R,12,Top,FALSE,14.12869179,24.63448906,-25.67438712,0.04049562682,0.03267246377,0.0002637681159,0.04167,0.033816,0.000273
119,127,106.6506351,37.5,R,2,Top,FALSE,5.61909763,13.76827807,-25.58814594,0.04774052478,0.02196618357,0.0002927536232,0.049125,0.022735,0.000303
119,133,55,25,M,17,Top,FALSE,5.41118708,26.97641234,-25.53246535,0.03553547133,0.03917198068,0.0004231884058,0.036566,0.040543,0.000438
124,131,72.5,46.65063509,R,11,Bottom,FALSE,9.679275026,21.16317864,-25.25702057,0.04612439261,0.0292057971,0.0003497584541,0.047462,0.030228,0.000362
124,130,110,25,R,3,Bottom,FALSE,9.227791329,19.49059722,-25.20583891,0.05205150632,0.01750724638,0.0001768115942,0.053561,0.01812,0.000183
124,132,63.34936491,12.5,R,8,Bottom,FALSE,10.00322741,24.07036426,-25.04954683,0.04949757046,0.02600676329,0.0002106280193,0.050933,0.026917,0.000218
124,131,106.6506351,37.5,R,2,Bottom,FALSE,9.793647507,22.16009305,-24.96047963,0.05186588921,0.02238454106,0.0002173913043,0.05337,0.023168,0.000225
131,141,12.5,25,L,16,Bottom,FALSE,20.55686046,71.40631638,-24.40199047,0.0417920311,0.04338647343,0.0003961352657,0.043004,0.044905,0.00041
122,130,85,50,R,12,Bottom,FALSE,7.681990931,18.30610502,-24.35684247,0.03699708455,0.04793816425,0.0004347826087,0.03807,0.049616,0.00045
124,129,97.5,3.349364905,R,5,Bottom,FALSE,9.674413293,17.57208016,-23.89153928,0.05990184645,0.0222115942,0.0004009661836,0.061639,0.022989,0.000415
130,135,37.5,25,L,14,Top,FALSE,19.88820379,34.87796623,-23.79619375,0.0625675413,0.01604830918,0.0003217391304,0.064382,0.01661,0.000333
123,135,25,50,L,12,Top,FALSE,8.144132826,35.6467578,-23.53808225,0.0592079689,0.03036425121,0.0005169082126,0.060925,0.031427,0.000535
122,135,25,12.5,L,15,Top,FALSE,7.442935249,33.63060797,-23.52142438,0.04092419825,0.05263091787,0.0002260869565,0.042111,0.054473,0.000234
121,131,106.6506351,12.5,R,4,Bottom,FALSE,6.977950866,20.7046831,-23.18783147,0.05583381924,0.04101545894,0.0002173913043,0.057453,0.042451,0.000225
122,139,50,25,L,3,Bottom,FALSE,7.220431264,54.59065162,-23.11887786,0.06755879495,0.01767149758,0.0002685990338,0.069518,0.01829,0.000278
121,135,46.65063509,37.5,L,2,Top,FALSE,6.867043201,33.08602671,-23.01911965,0.05124295432,0.04861835749,0.0005207729469,0.052729,0.05032,0.000539
122,139,25,12.5,L,15,Bottom,FALSE,7.657841142,54.58933508,-22.73470791,0.0480845481,0.05491014493,0.000568115942,0.049479,0.056832,0.000588
128,137,25,37.5,L,13,Top,FALSE,14.98537463,41.36563897,-22.68439627,0.06768610301,0.02842608696,0.0004434782609,0.069649,0.029421,0.000459
124,137,37.5,46.65063509,L,1,Top,FALSE,9.996751347,40.76811188,-22.61542822,0.06963168124,0.02504347826,0.0004173913043,0.071651,0.02592,0.000432
123,132,63.34936491,12.5,R,8,Top,FALSE,8.063577545,24.48462972,-22.5394417,0.06732069971,0.03225603865,0.0002125603865,0.069273,0.033385,0.00022
121,139,0,25,L,9,Top,FALSE,6.866355585,51.24519087,-22.4738569,0.05890573372,0.04677004831,0.0002086956522,0.060614,0.048407,0.000216
126,130,63.34936491,37.5,R,10,Bottom,FALSE,11.93115879,18.51034773,-21.76345953,0.06752089407,0.04586570048,0.0001565217391,0.069479,0.047471,0.000162
127,140,12.5,3.349364905,L,7,Bottom,FALSE,12.8872822,63.65168181,-21.63250052,0.07385908649,0.03756714976,0.0005236714976,0.076001,0.038882,0.000542
126,137,55,25,M,17,Bottom,FALSE,12.34384275,40.48820311,-21.62888557,0.07881632653,0.02569565217,0.0004096618357,0.081102,0.026595,0.000424
127,131,72.5,3.349364905,R,7,Bottom,FALSE,13.04111941,21.00282763,-21.4890622,0.0743537415,0.03960676329,0.000368115942,0.07651,0.040993,0.000381
123,141,37.5,3.349364905,L,5,Bottom,FALSE,8.591377705,66.9473406,-21.01008315,0.08178328474,0.03515845411,0.0004888888889,0.084155,0.036389,0.000506
120,136,3.349364905,12.5,L,8,Top,FALSE,6.144682707,38.17981571,-20.5461565,0.06961710398,0.06302125604,0.0002637681159,0.071636,0.065227,0.000273
126,136,12.5,25,L,16,Top,FALSE,11.77625528,38.4148032,-20.46428861,0.08374052478,0.04442512077,0.0001758454106,0.086169,0.04598,0.000182
120,139,3.349364905,37.5,L,10,Top,FALSE,6.278298249,51.80742985,-20.13687997,0.08088338192,0.05610241546,0.0003671497585,0.083229,0.058066,0.00038
126,142,46.65063509,37.5,L,2,Bottom,FALSE,12.24649041,76.5140938,-20.02151804,0.08793683188,0.04708792271,0.000645410628,0.090487,0.048736,0.000668
126,139,25,0,L,6,Bottom,FALSE,11.99191765,50.73346712,-19.90123864,0.08835471331,0.04922512077,0.00058647343,0.090917,0.050948,0.000607
123,143,12.5,46.65063509,L,11,Top,FALSE,8.964433275,82.94149241,-18.68019603,0.1101205053,0.03774396135,0.0003874396135,0.113314,0.039065,0.000401
126,141,37.5,46.65063509,L,1,Bottom,FALSE,12.00674845,69.15050635,-17.32048875,0.1279961127,0.04636714976,0.0005594202899,0.131708,0.04799,0.000579
124,142,46.65063509,12.5,L,4,Bottom,FALSE,9.36643248,79.76141743,-16.69683988,0.1354178814,0.05528888889,0.0005652173913,0.139345,0.057224,0.000585
124,143,3.349364905,37.5,L,10,Bottom,FALSE,9.902410332,83.98723009,-16.20883227,0.1405325559,0.06472850242,0.0006444444444,0.144608,0.066994,0.000667
126,143,3.349364905,12.5,L,8,Bottom,FALSE,11.62067708,87.99410563,-15.56900698,0.1554489796,0.05979033816,0.000522705314,0.159957,0.061883,0.000541
125,142,0,25,L,9,Bottom,FALSE,10.42830651,72.43368741,-13.82680757,0.1921341108,0.06719033816,0.0005942028986,0.197706,0.069542,0.000615
130,140,25,50,L,12,Bottom,FALSE,18.4134817,58.66764391,-13.41328388,0.2069436346,0.05236908213,0.001016425121,0.212945,0.054202,0.001052
130,142,12.5,46.65063509,L,11,Bottom,FALSE,19.09044641,71.70271703,-12.27578122,0.2235840622,0.09603961353,0.0004647342995,0.230068,0.099401,0.000481
