"VID_ID","Day","Fish_ID","Sound","Speaker","TrainedWith","DistanceMoved_cm","Velocity","RightDistance_cm","LeftDistance_cm","NotMoving_per","Accel_mean","Accel_max","Accel_sd","TimeToRight_s","InRight_per","TimeToLeft_s","InLeft_per","HeadingToLeft_deg","HeadingToRight_deg"
"259","Day 3","15","Sound","Right","CO2","2362.75","8.61285","47.757","129.308","15.4273","-0.182178","720.973","37.3517","0","82.02","79.6654","11.9312","92.0028","102.374"
"261","Day 3","15","Sound","Left","CO2","1551.38","5.7566","120.816","57.8809","40.2331","-0.0911687","2199.22","71.8144","0","12.3196","1.99997","79.8557","87.295","122.192"
"263","Day 3","15","Sound","Right","CO2","768.986","3.01568","43.2264","120.117","53.4703","-0.0523493","161.302","12.8913","0","86.6741","","0","19.0585","51.7119"
"265","Day 3","16","Sound","Left","CO2","3632.24","12.4562","173.929","59.7893","3.13125","-0.140418","472.955","56.1513","49.8","4.66356","0","94.004","111.434","132.856"
"267","Day 3","16","Sound","Right","CO2","3788.26","13.8597","50.2721","127.068","3.56145","1.309","2041.15","112.014","0","78.8408","1.45831","15.9916","48.4599","65.9994"
"269","Day 3","16","Sound","Left","CO2","2576.6","9.72317","188.475","58.5625","2.23464","-0.170723","272.686","40.6393","","0","0","93.9944","-129.885","-117.378"
"271","Day 3","17","Sound","Right","CO2","7886.31","28.6649","182.298","63.1516","1.73526","-2.04697","21312.9","1765.64","0","4.17324","14.7914","90.621","-166.548","-174.285"
"273","Day 3","17","Sound","Left","CO2","12167.1","43.3065","157.498","80.0938","2.29103","-19.9265","88664.1","3953.8","27.6246","20.2166","0","75.1458","-151.617","177.175"
"275","Day 3","17","Sound","Right","CO2","9498.63","36.61","116.765","90.9609","13.9492","5.62156","55193.4","3636.56","0","38.4066","127.415","51.2279","114.137","-25.3812"
"37","Day 7","3","Acclimation","Left","Air","2576.9","13.8235","164.814","65.8698","1.79117","0.776539","27942.4","1336.45","","0","0","48.0839","-82.9869","-115.843"
"39","Day 7","3","Acclimation","Right","Air","2766.93","9.22196","80.7523","148.162","40.1694","-0.0197763","82681.9","2046.33","0","74.8264","125.706","21.8134","-97.5877","-103.79"
"41","Day 7","3","Acclimation","Left","Air","2978.65","9.92761","174.632","55.7505","13.8156","-0.0313615","17045.3","695.081","","0","0","100","-100.493","-70.5978"
"43","Day 7","2","Acclimation","Right","Air","3688.49","12.9366","133.313","107.279","1.16634","-0.0534509","50470","981.647","0","42.0855","60.7074","53.1102","-2.43622","5.9307"
"44","Day 7","2","Acclimation","Left","Air","1800.27","6.99826","45.7506","111.891","17.9811","-0.899024","4025.16","280.548","0","86.2955","","0","116.335","114.932"
"46","Day 7","2","Acclimation","Right","Air","3754.56","12.6467","57.2858","119.429","10.3586","-0.0263017","91817.6","1593.97","0","88.4015","21.48","10.3186","-76.7236","-83.4077"
"48","Day 7","1","Acclimation","Left","Air","5774.78","19.2673","172.312","60.6991","2.77296","0.0116041","36196.7","2211.33","","0","0","92.9609","-94.3784","-79.7341"
"50","Day 7","1","Acclimation","Right","Air","3574.41","12.6322","169.797","56.1391","2.86628","0.320328","24514.6","951.154","0","3.65285","13.2","91.1212","97.221","37.3293"
"52","Day 7","1","Acclimation","Left","Air","5437.22","19.2101","119.028","80.303","3.29289","0.0639694","38002.5","2461.82","67.24","19.2108","0","70.2573","-66.5717","-104.837"
