dB_65_cm,RMS_65_cm,X_cm,Y_cm,Circle,Side,Position,Depth,Ambient,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
144,97.36826953,115.5,10.31604391,Outer,L,5,Middle,FALSE,-22.23864197,0.06388338192,0.04344347826,0.001948792271,0.065736,0.044964,0.002017
117,4.049838454,319,0,Outer,R,6,Bottom,FALSE,-42.66047644,0.006522837707,0.003412560386,3.41E-05,0.006712,0.003532,3.53E-05
112,2.47694113,319,77,Center,R,0,Top,FALSE,-42.68663502,0.006415937804,0.003564251208,2.36E-05,0.006602,0.003689,2.44E-05
100,0.5979566221,115.5,10.31604391,Outer,L,5,Top,TRUE,-48.78245122,0.002937803693,0.00214589372,1.98E-05,0.003023,0.002221,2.05E-05
98,0.5034455778,96.25,43.65802195,Inner,L,5,Top,TRUE,-48.34608803,0.001952380952,0.003289855072,3.27E-06,0.002009,0.003405,3.38E-06
151,210.1687077,96.25,43.65802195,Inner,L,5,Top,FALSE,-13.45432006,0.1898396501,0.0954,0.000645410628,0.195345,0.098739,0.000668
105,1.045644821,252.3160439,115.5,Outer,R,10,Middle,TRUE,-42.6936605,0.006874635569,0.002553623188,4.81E-06,0.007074,0.002643,4.98E-06
117,4.497200683,319,154,Outer,R,12,Top,FALSE,-42.97389559,0.006150631681,0.003547826087,5.95E-05,0.006329,0.003672,6.16E-05
136,36.71566399,115.5,10.31604391,Outer,L,5,Top,FALSE,-22.66384544,0.06887172012,0.02589758454,0.001101449275,0.070869,0.026804,0.00114
101,0.6699804286,77,38.5,Inner,L,6,Bottom,TRUE,-43.74704111,0.00284548105,0.005839613527,2.33E-05,0.002928,0.006044,2.41E-05
153,275.4896234,77,38.5,Inner,L,6,Bottom,FALSE,-13.5241845,0.1961379981,0.07713140097,0.0009690821256,0.201826,0.079831,0.001003
113,2.606664993,338.25,43.65802195,Inner,R,5,Bottom,FALSE,-42.99291025,0.006201166181,0.003426086957,8.99E-05,0.006381,0.003546,9.30E-05
118,4.937402367,319,77,Center,R,0,Middle,FALSE,-43.01153149,0.006062196307,0.003636714976,0.00009951690821,0.006238,0.003764,0.000103
100,0.587520674,77,0,Outer,L,6,Bottom,TRUE,-51.45880834,0.002069970845,0.00169178744,0,0.00213,0.001751,0
140,58.37762291,77,0,Outer,L,6,Bottom,FALSE,-21.13947693,0.08248104956,0.02974009662,0.002152657005,0.084873,0.030781,0.002228
115,3.498787933,357.5,143.6839561,Outer,R,1,Top,FALSE,-43.01536573,0.006335276968,0.003131400966,1.75E-05,0.006519,0.003241,1.81E-05
113,2.823519907,357.5,77,Inner,R,3,Middle,FALSE,-43.1932832,0.006254616132,0.002969082126,3.77E-05,0.006436,0.003073,3.90E-05
103,0.8860948437,77,0,Outer,L,6,Middle,TRUE,-52.41608552,0.001906705539,0.001448309179,0,0.001962,0.001499,0
98,0.4657211709,77,38.5,Inner,L,6,Middle,TRUE,-50.52498317,0.002474246842,0.001655072464,1.50E-05,0.002546,0.001713,1.55E-05
155,351.4811383,77,38.5,Inner,L,6,Middle,FALSE,-8.908044104,0.3364169096,0.1241333333,0.001068599034,0.346173,0.128478,0.001106
109,1.712376854,285.658022,57.75,Inner,R,8,Top,FALSE,-43.20252216,0.005998056365,0.003443478261,3.16E-05,0.006172,0.003564,3.27E-05
108,1.460197829,352.341978,57.75,Inner,R,4,Top,FALSE,-43.32997504,0.005087463557,0.0045352657,2.96E-05,0.005235,0.004694,3.06E-05
110,1.841901401,338.25,43.65802195,Inner,R,5,Top,FALSE,-43.54592246,0.005645286686,0.003510144928,9.02E-05,0.005809,0.003633,9.34E-05
